# Source Data for Fig. 7a: independent leakage model, k1 = k2 = k = 1
# Recomputed from the closed forms in the paper, not from the co-author's code.
# Input state alpha = sqrt(0.6), beta = sqrt(0.4).
time,gamma,expected_holevo_bits,eve_fidelity
4.960,0.1,0.0066083336,0.9828137372
4.970,0.1,0.0065426051,0.9828393939
4.980,0.1,0.0064775301,0.9828647941
4.990,0.1,0.0064131022,0.9828899405
5.000,0.1,0.0063493148,0.9829148356
0.000,0.2,0.8245629393,0.5000000000
0.010,0.2,0.8169847351,0.5061366710
0.020,0.2,0.8094695331,0.5121841001
0.030,0.2,0.8020169519,0.5181437333
0.040,0.2,0.7946266092,0.5240169910
0.050,0.2,0.7872981216,0.5298052689
0.060,0.2,0.7800311050,0.5355099381
0.070,0.2,0.7728251744,0.5411323457
0.080,0.2,0.7656799441,0.5466738150
0.090,0.2,0.7585950282,0.5521356463
0.100,0.2,0.7515700398,0.5575191172
0.110,0.2,0.7446045920,0.5628254829
0.120,0.2,0.7376982974,0.5680559766
0.130,0.2,0.7308507686,0.5732118103
0.140,0.2,0.7240616179,0.5782941746
0.150,0.2,0.7173304576,0.5833042394
0.160,0.2,0.7106569000,0.5882431545
0.170,0.2,0.7040405576,0.5931120495
0.180,0.2,0.6974810431,0.5979120346
0.190,0.2,0.6909779693,0.6026442005
0.200,0.2,0.6845309494,0.6073096194
0.210,0.2,0.6781395970,0.6119093447
0.220,0.2,0.6718035261,0.6164444116
0.230,0.2,0.6655223513,0.6209158376
0.240,0.2,0.6592956878,0.6253246225
0.250,0.2,0.6531231513,0.6296717490
0.260,0.2,0.6470043582,0.6339581830
0.270,0.2,0.6409389258,0.6381848735
0.280,0.2,0.6349264720,0.6423527536
0.290,0.2,0.6289666158,0.6464627401
0.300,0.2,0.6230589769,0.6505157342
0.310,0.2,0.6172031760,0.6545126219
0.320,0.2,0.6113988347,0.6584542738
0.330,0.2,0.6056455759,0.6623415458
0.340,0.2,0.5999430234,0.6661752791
0.350,0.2,0.5942908021,0.6699563007
0.360,0.2,0.5886885382,0.6736854235
0.370,0.2,0.5831358589,0.6773634467
0.380,0.2,0.5776323929,0.6809911557
0.390,0.2,0.5721777700,0.6845693228
0.400,0.2,0.5667716214,0.6880987072
0.410,0.2,0.5614135796,0.6915800553
0.420,0.2,0.5561032785,0.6950141009
0.430,0.2,0.5508403535,0.6984015653
0.440,0.2,0.5456244413,0.7017431578
0.450,0.2,0.5404551801,0.7050395758
0.460,0.2,0.5353322097,0.7082915048
0.470,0.2,0.5302551713,0.7114996191
0.480,0.2,0.5252237077,0.7146645814
0.490,0.2,0.5202374634,0.7177870434
0.500,0.2,0.5152960843,0.7208676462
0.510,0.2,0.5103992180,0.7239070198
0.520,0.2,0.5055465139,0.7269057838
0.530,0.2,0.5007376228,0.7298645478
0.540,0.2,0.4959721973,0.7327839108
0.550,0.2,0.4912498917,0.7356644621
0.560,0.2,0.4865703622,0.7385067814
0.570,0.2,0.4819332663,0.7413114384
