# Source Data for Fig. 6a: Holevo quantity vs damping parameter
# Recomputed from the closed forms in the paper, not from the co-author's code.
gamma,alpha_sq,chi_bits
0.4140,0.20,0.2939240301
0.4160,0.20,0.2931920138
0.4180,0.20,0.2924775299
0.4200,0.20,0.2917805558
0.4220,0.20,0.2911010697
0.4240,0.20,0.2904390502
0.4260,0.20,0.2897944767
0.4280,0.20,0.2891673290
0.4300,0.20,0.2885575875
0.4320,0.20,0.2879652334
0.4340,0.20,0.2873902481
0.4360,0.20,0.2868326140
0.4380,0.20,0.2862923137
0.4400,0.20,0.2857693306
0.4420,0.20,0.2852636485
0.4440,0.20,0.2847752518
0.4460,0.20,0.2843041256
0.4480,0.20,0.2838502555
0.4500,0.20,0.2834136274
0.4520,0.20,0.2829942280
0.4540,0.20,0.2825920446
0.4560,0.20,0.2822070648
0.4580,0.20,0.2818392769
0.4600,0.20,0.2814886697
0.4620,0.20,0.2811552326
0.4640,0.20,0.2808389553
0.4660,0.20,0.2805398283
0.4680,0.20,0.2802578426
0.4700,0.20,0.2799929896
0.4720,0.20,0.2797452612
0.4740,0.20,0.2795146501
0.4760,0.20,0.2793011491
0.4780,0.20,0.2791047519
0.4800,0.20,0.2789254525
0.4820,0.20,0.2787632455
0.4840,0.20,0.2786181261
0.4860,0.20,0.2784900898
0.4880,0.20,0.2783791328
0.4900,0.20,0.2782852518
0.4920,0.20,0.2782084439
0.4940,0.20,0.2781487068
0.4960,0.20,0.2781060388
0.4980,0.20,0.2780804385
0.5000,0.20,0.2780719051
0.5020,0.20,0.2780804385
0.5040,0.20,0.2781060388
0.5060,0.20,0.2781487068
0.5080,0.20,0.2782084439
0.5100,0.20,0.2782852518
0.5120,0.20,0.2783791328
0.5140,0.20,0.2784900898
0.5160,0.20,0.2786181261
0.5180,0.20,0.2787632455
0.5200,0.20,0.2789254525
0.5220,0.20,0.2791047519
0.5240,0.20,0.2793011491
0.5260,0.20,0.2795146501
0.5280,0.20,0.2797452612
0.5300,0.20,0.2799929896
0.5320,0.20,0.2802578426
0.5340,0.20,0.2805398283
0.5360,0.20,0.2808389553
0.5380,0.20,0.2811552326
0.5400,0.20,0.2814886697
0.5420,0.20,0.2818392769
0.5440,0.20,0.2822070648
0.5460,0.20,0.2825920446
