# Source Data for Fig. 7c: burst leakage model, k1 = k2 = k = 1
# Recomputed from the closed forms in the paper, not from the co-author's code.
# Input state alpha = sqrt(0.6), beta = sqrt(0.4).
time,gamma,expected_holevo_bits,eve_fidelity
2.340,0.2,0.0794282005,0.9280775241
2.350,0.2,0.0786378767,0.9285315626
2.360,0.2,0.0778554168,0.9289810834
2.370,0.2,0.0770807424,0.9294261313
2.380,0.2,0.0763137762,0.9298667509
2.390,0.2,0.0755544415,0.9303029863
2.400,0.2,0.0748026622,0.9307348811
2.410,0.2,0.0740583633,0.9311624785
2.420,0.2,0.0733214703,0.9315858211
2.430,0.2,0.0725919094,0.9320049515
2.440,0.2,0.0718696079,0.9324199114
2.450,0.2,0.0711544933,0.9328307425
2.460,0.2,0.0704464943,0.9332374856
2.470,0.2,0.0697455400,0.9336401817
2.480,0.2,0.0690515602,0.9340388708
2.490,0.2,0.0683644857,0.9344335929
2.500,0.2,0.0676842477,0.9348243875
2.510,0.2,0.0670107782,0.9352112935
2.520,0.2,0.0663440098,0.9355943498
2.530,0.2,0.0656838759,0.9359735947
2.540,0.2,0.0650303104,0.9363490660
2.550,0.2,0.0643832480,0.9367208012
2.560,0.2,0.0637426240,0.9370888377
2.570,0.2,0.0631083743,0.9374532121
2.580,0.2,0.0624804355,0.9378139610
2.590,0.2,0.0618587448,0.9381711203
2.600,0.2,0.0612432400,0.9385247258
2.610,0.2,0.0606338595,0.9388748129
2.620,0.2,0.0600305426,0.9392214166
2.630,0.2,0.0594332287,0.9395645715
2.640,0.2,0.0588418582,0.9399043120
2.650,0.2,0.0582563719,0.9402406720
2.660,0.2,0.0576767113,0.9405736851
2.670,0.2,0.0571028185,0.9409033847
2.680,0.2,0.0565346359,0.9412298038
2.690,0.2,0.0559721069,0.9415529749
2.700,0.2,0.0554151751,0.9418729304
2.710,0.2,0.0548637849,0.9421897023
2.720,0.2,0.0543178811,0.9425033223
2.730,0.2,0.0537774092,0.9428138217
2.740,0.2,0.0532423150,0.9431212316
2.750,0.2,0.0527125451,0.9434255827
2.760,0.2,0.0521880466,0.9437269055
2.770,0.2,0.0516687668,0.9440252300
2.780,0.2,0.0511546540,0.9443205862
2.790,0.2,0.0506456567,0.9446130035
2.800,0.2,0.0501417240,0.9449025112
2.810,0.2,0.0496428055,0.9451891383
2.820,0.2,0.0491488513,0.9454729134
2.830,0.2,0.0486598121,0.9457538649
2.840,0.2,0.0481756389,0.9460320209
2.850,0.2,0.0476962832,0.9463074091
2.860,0.2,0.0472216973,0.9465800572
2.870,0.2,0.0467518336,0.9468499924
2.880,0.2,0.0462866450,0.9471172418
2.890,0.2,0.0458260852,0.9473818319
2.900,0.2,0.0453701081,0.9476437893
2.910,0.2,0.0449186679,0.9479031402
2.920,0.2,0.0444717197,0.9481599106
2.930,0.2,0.0440292187,0.9484141260
2.940,0.2,0.0435911207,0.9486658119
2.950,0.2,0.0431573818,0.9489149935
2.960,0.2,0.0427279587,0.9491616957
2.970,0.2,0.0423028084,0.9494059432
2.980,0.2,0.0418818884,0.9496477604
2.990,0.2,0.0414651566,0.9498871714
3.000,0.2,0.0410525714,0.9501242003
3.010,0.2,0.0406440915,0.9503588707
3.020,0.2,0.0402396761,0.9505912061
3.030,0.2,0.0398392846,0.9508212297
3.040,0.2,0.0394428771,0.9510489646
3.050,0.2,0.0390504139,0.9512744334
3.060,0.2,0.0386618558,0.9514976588
3.070,0.2,0.0382771639,0.9517186631
3.080,0.2,0.0378962998,0.9519374683
3.090,0.2,0.0375192253,0.9521540964
3.100,0.2,0.0371459027,0.9523685690
3.110,0.2,0.0367762948,0.9525809075
3.120,0.2,0.0364103646,0.9527911333
3.130,0.2,0.0360480754,0.9529992673
3.140,0.2,0.0356893911,0.9532053303
3.150,0.2,0.0353342757,0.9534093429
3.160,0.2,0.0349826938,0.9536113256
3.170,0.2,0.0346346101,0.9538112985
3.180,0.2,0.0342899900,0.9540092817
3.190,0.2,0.0339487989,0.9542052949
3.200,0.2,0.0336110027,0.9543993577
3.210,0.2,0.0332765677,0.9545914896
3.220,0.2,0.0329454603,0.9547817097
3.230,0.2,0.0326176475,0.9549700371
3.240,0.2,0.0322930965,0.9551564907
3.250,0.2,0.0319717748,0.9553410889
3.260,0.2,0.0316536503,0.9555238504
3.270,0.2,0.0313386912,0.9557047934
3.280,0.2,0.0310268660,0.9558839360
3.290,0.2,0.0307181436,0.9560612961
3.300,0.2,0.0304124929,0.9562368914
3.310,0.2,0.0301098836,0.9564107395
3.320,0.2,0.0298102852,0.9565828578
3.330,0.2,0.0295136679,0.9567532635
3.340,0.2,0.0292200020,0.9569219736
3.350,0.2,0.0289292581,0.9570890050
3.360,0.2,0.0286414072,0.9572543745
3.370,0.2,0.0283564204,0.9574180984
3.380,0.2,0.0280742694,0.9575801933
3.390,0.2,0.0277949257,0.9577406754
3.400,0.2,0.0275183616,0.9578995606
3.410,0.2,0.0272445493,0.9580568649
3.420,0.2,0.0269734615,0.9582126039
3.430,0.2,0.0267050711,0.9583667934
3.440,0.2,0.0264393512,0.9585194486
3.450,0.2,0.0261762752,0.9586705849
3.460,0.2,0.0259158170,0.9588202173
3.470,0.2,0.0256579503,0.9589683609
3.480,0.2,0.0254026494,0.9591150305
3.490,0.2,0.0251498888,0.9592602406
3.500,0.2,0.0248996432,0.9594040059
