# Source Data for Fig. 7b: sequential leakage model, k1 = k2 = k = 1
# Recomputed from the closed forms in the paper, not from the co-author's code.
# Input state alpha = sqrt(0.6), beta = sqrt(0.4).
time,gamma,expected_holevo_bits,eve_fidelity
1.830,0.1,0.3871986692,0.8061333235
1.840,0.1,0.3846683918,0.8073683880
1.850,0.1,0.3821501327,0.8085966214
1.860,0.1,0.3796439035,0.8098180373
1.870,0.1,0.3771497140,0.8110326499
1.880,0.1,0.3746675727,0.8122404736
1.890,0.1,0.3721974869,0.8134415233
1.900,0.1,0.3697394623,0.8146358141
1.910,0.1,0.3672935035,0.8158233616
1.920,0.1,0.3648596138,0.8170041819
1.930,0.1,0.3624377951,0.8181782912
1.940,0.1,0.3600280481,0.8193457062
1.950,0.1,0.3576303725,0.8205064438
1.960,0.1,0.3552447666,0.8216605213
1.970,0.1,0.3528712275,0.8228079564
1.980,0.1,0.3505097513,0.8239487669
1.990,0.1,0.3481603330,0.8250829712
2.000,0.1,0.3458229664,0.8262105877
2.010,0.1,0.3434976443,0.8273316352
2.020,0.1,0.3411843584,0.8284461328
2.030,0.1,0.3388830994,0.8295540999
2.040,0.1,0.3365938569,0.8306555561
2.050,0.1,0.3343166198,0.8317505213
2.060,0.1,0.3320513757,0.8328390155
2.070,0.1,0.3297981114,0.8339210592
2.080,0.1,0.3275568128,0.8349966729
2.090,0.1,0.3253274648,0.8360658775
2.100,0.1,0.3231100516,0.8371286941
2.110,0.1,0.3209045564,0.8381851439
2.120,0.1,0.3187109615,0.8392352483
2.130,0.1,0.3165292484,0.8402790291
2.140,0.1,0.3143593979,0.8413165081
2.150,0.1,0.3122013899,0.8423477074
2.160,0.1,0.3100552036,0.8433726493
2.170,0.1,0.3079208173,0.8443913562
2.180,0.1,0.3057982088,0.8454038506
2.190,0.1,0.3036873550,0.8464101554
2.200,0.1,0.3015882320,0.8474102935
2.210,0.1,0.2995008155,0.8484042880
2.220,0.1,0.2974250803,0.8493921620
2.230,0.1,0.2953610005,0.8503739391
2.240,0.1,0.2933085499,0.8513496428
2.250,0.1,0.2912677012,0.8523192966
2.260,0.1,0.2892384268,0.8532829244
2.270,0.1,0.2872206985,0.8542405501
2.280,0.1,0.2852144874,0.8551921978
2.290,0.1,0.2832197640,0.8561378915
2.300,0.1,0.2812364984,0.8570776557
2.310,0.1,0.2792646600,0.8580115145
2.320,0.1,0.2773042179,0.8589394926
2.330,0.1,0.2753551403,0.8598616145
2.340,0.1,0.2734173953,0.8607779048
2.350,0.1,0.2714909504,0.8616883883
2.360,0.1,0.2695757724,0.8625930899
2.370,0.1,0.2676718279,0.8634920344
2.380,0.1,0.2657790829,0.8643852469
2.390,0.1,0.2638975032,0.8652727524
2.400,0.1,0.2620270538,0.8661545761
2.410,0.1,0.2601676997,0.8670307432
2.420,0.1,0.2583194051,0.8679012789
2.430,0.1,0.2564821340,0.8687662085
2.440,0.1,0.2546558502,0.8696255575
2.450,0.1,0.2528405167,0.8704793512
2.460,0.1,0.2510360966,0.8713276151
2.470,0.1,0.2492425524,0.8721703748
2.480,0.1,0.2474598463,0.8730076558
2.490,0.1,0.2456879402,0.8738394836
2.500,0.1,0.2439267956,0.8746658839
2.510,0.1,0.2421763738,0.8754868824
2.520,0.1,0.2404366359,0.8763025048
2.530,0.1,0.2387075424,0.8771127767
2.540,0.1,0.2369890539,0.8779177238
2.550,0.1,0.2352811304,0.8787173719
2.560,0.1,0.2335837319,0.8795117468
2.570,0.1,0.2318968180,0.8803008743
2.580,0.1,0.2302203480,0.8810847800
2.590,0.1,0.2285542813,0.8818634899
2.600,0.1,0.2268985767,0.8826370296
2.610,0.1,0.2252531929,0.8834054250
2.620,0.1,0.2236180886,0.8841687019
2.630,0.1,0.2219932220,0.8849268860
2.640,0.1,0.2203785513,0.8856800032
2.650,0.1,0.2187740345,0.8864280791
2.660,0.1,0.2171796293,0.8871711396
2.670,0.1,0.2155952934,0.8879092104
