# Source Data for Fig. 6b: Holevo quantity vs input-state amplitude
# Recomputed from the closed forms in the paper, not from the co-author's code.
alpha_sq,gamma,chi_bits
0.3240,0.20,0.5998522461
0.3260,0.20,0.6016691945
0.3280,0.20,0.6034837536
0.3300,0.20,0.6052959165
0.3320,0.20,0.6071056765
0.3340,0.20,0.6089130268
0.3360,0.20,0.6107179605
0.3380,0.20,0.6125204709
0.3400,0.20,0.6143205508
0.3420,0.20,0.6161181935
0.3440,0.20,0.6179133920
0.3460,0.20,0.6197061392
0.3480,0.20,0.6214964281
0.3500,0.20,0.6232842517
0.3520,0.20,0.6250696028
0.3540,0.20,0.6268524744
0.3560,0.20,0.6286328592
0.3580,0.20,0.6304107500
0.3600,0.20,0.6321861397
0.3620,0.20,0.6339590209
0.3640,0.20,0.6357293864
0.3660,0.20,0.6374972287
0.3680,0.20,0.6392625406
0.3700,0.20,0.6410253146
0.3720,0.20,0.6427855432
0.3740,0.20,0.6445432191
0.3760,0.20,0.6462983346
0.3780,0.20,0.6480508822
0.3800,0.20,0.6498008544
0.3820,0.20,0.6515482435
0.3840,0.20,0.6532930418
0.3860,0.20,0.6550352417
0.3880,0.20,0.6567748353
0.3900,0.20,0.6585118150
0.3920,0.20,0.6602461729
0.3940,0.20,0.6619779012
0.3960,0.20,0.6637069919
0.3980,0.20,0.6654334372
0.4000,0.20,0.6671572290
0.4020,0.20,0.6688783594
0.4040,0.20,0.6705968203
0.4060,0.20,0.6723126036
0.4080,0.20,0.6740257013
0.4100,0.20,0.6757361050
0.4120,0.20,0.6774438067
0.4140,0.20,0.6791487980
0.4160,0.20,0.6808510707
0.4180,0.20,0.6825506164
0.4200,0.20,0.6842474267
0.4220,0.20,0.6859414933
0.4240,0.20,0.6876328076
0.4260,0.20,0.6893213612
0.4280,0.20,0.6910071456
0.4300,0.20,0.6926901520
0.4320,0.20,0.6943703719
0.4340,0.20,0.6960477966
0.4360,0.20,0.6977224174
0.4380,0.20,0.6993942254
0.4400,0.20,0.7010632119
0.4420,0.20,0.7027293681
0.4440,0.20,0.7043926849
0.4460,0.20,0.7060531535
0.4480,0.20,0.7077107648
0.4500,0.20,0.7093655098
0.4520,0.20,0.7110173793
0.4540,0.20,0.7126663643
0.4560,0.20,0.7143124556
0.4580,0.20,0.7159556438
0.4600,0.20,0.7175959198
0.4620,0.20,0.7192332741
0.4640,0.20,0.7208676973
0.4660,0.20,0.7224991801
0.4680,0.20,0.7241277129
0.4700,0.20,0.7257532862
0.4720,0.20,0.7273758903
0.4740,0.20,0.7289955157
0.4760,0.20,0.7306121526
0.4780,0.20,0.7322257912
0.4800,0.20,0.7338364218
0.4820,0.20,0.7354440345
0.4840,0.20,0.7370486194
0.4860,0.20,0.7386501665
0.4880,0.20,0.7402486658
0.4900,0.20,0.7418441071
0.4920,0.20,0.7434364804
0.4940,0.20,0.7450257755
0.4960,0.20,0.7466119821
0.4980,0.20,0.7481950898
0.5000,0.20,0.7497750884
0.5020,0.20,0.7513519674
0.5040,0.20,0.7529257163
0.5060,0.20,0.7544963245
0.5080,0.20,0.7560637815
0.5100,0.20,0.7576280766
0.5120,0.20,0.7591891991
0.5140,0.20,0.7607471381
0.5160,0.20,0.7623018829
0.5180,0.20,0.7638534225
0.5200,0.20,0.7654017459
0.5220,0.20,0.7669468421
0.5240,0.20,0.7684887000
0.5260,0.20,0.7700273084
0.5280,0.20,0.7715626560
0.5300,0.20,0.7730947317
0.5320,0.20,0.7746235240
0.5340,0.20,0.7761490214
0.5360,0.20,0.7776712125
0.5380,0.20,0.7791900857
0.5400,0.20,0.7807056294
0.5420,0.20,0.7822178318
0.5440,0.20,0.7837266811
0.5460,0.20,0.7852321656
0.5480,0.20,0.7867342733
0.5500,0.20,0.7882329921
0.5520,0.20,0.7897283101
0.5540,0.20,0.7912202150
0.5560,0.20,0.7927086947
0.5580,0.20,0.7941937368
0.5600,0.20,0.7956753290
0.5620,0.20,0.7971534589
0.5640,0.20,0.7986281139
0.5660,0.20,0.8000992814
0.5680,0.20,0.8015669487
0.5700,0.20,0.8030311032
0.5720,0.20,0.8044917318
0.5740,0.20,0.8059488218
0.5760,0.20,0.8074023601
0.5780,0.20,0.8088523336
0.5800,0.20,0.8102987292
0.5820,0.20,0.8117415335
0.5840,0.20,0.8131807334
0.5860,0.20,0.8146163153
0.5880,0.20,0.8160482657
0.5900,0.20,0.8174765710
0.5920,0.20,0.8189012176
0.5940,0.20,0.8203221916
0.5960,0.20,0.8217394792
0.5980,0.20,0.8231530665
0.6000,0.20,0.8245629393
0.6020,0.20,0.8259690836
0.6040,0.20,0.8273714850
0.6060,0.20,0.8287701293
0.6080,0.20,0.8301650021
0.6100,0.20,0.8315560887
0.6120,0.20,0.8329433746
0.6140,0.20,0.8343268450
0.6160,0.20,0.8357064852
0.6180,0.20,0.8370822801
0.6200,0.20,0.8384542148
0.6220,0.20,0.8398222742
0.6240,0.20,0.8411864429
0.6260,0.20,0.8425467056
0.6280,0.20,0.8439030469
0.6300,0.20,0.8452554513
0.6320,0.20,0.8466039029
0.6340,0.20,0.8479483862
0.6360,0.20,0.8492888851
0.6380,0.20,0.8506253837
0.6400,0.20,0.8519578659
0.6420,0.20,0.8532863154
0.6440,0.20,0.8546107158
0.6460,0.20,0.8559310507
0.6480,0.20,0.8572473035
0.6500,0.20,0.8585594575
0.6520,0.20,0.8598674958
0.6540,0.20,0.8611714015
0.6560,0.20,0.8624711575
0.6580,0.20,0.8637667466
0.6600,0.20,0.8650581514
0.6620,0.20,0.8663453545
0.6640,0.20,0.8676283382
0.6660,0.20,0.8689070849
0.6680,0.20,0.8701815767
0.6700,0.20,0.8714517955
0.6720,0.20,0.8727177232
0.6740,0.20,0.8739793415
0.6760,0.20,0.8752366320
0.6780,0.20,0.8764895762
0.6800,0.20,0.8777381552
0.6820,0.20,0.8789823503
0.6840,0.20,0.8802221424
0.6860,0.20,0.8814575124
0.6880,0.20,0.8826884409
0.6900,0.20,0.8839149085
0.6920,0.20,0.8851368956
0.6940,0.20,0.8863543823
0.6960,0.20,0.8875673488
0.6980,0.20,0.8887757748
